subject_id,subject_name,subject_city,subject_state,subject_year,subject_units,subject_program,rank,comp_id,comp_name,comp_city,comp_state,comp_year,comp_units,comp_program,score
14,Grove Park Terrace,Waxahachie,TX,1998,60.0,Layered HUD/LIHTC,1,12,Lexington Arms,Waxahachie,TX,1997,61.0,LIHTC,80.67
14,Grove Park Terrace,Waxahachie,TX,1998,60.0,Layered HUD/LIHTC,2,11,Breckenridge Village,Ennis,TX,1997,66.0,LIHTC,79.18
14,Grove Park Terrace,Waxahachie,TX,1998,60.0,Layered HUD/LIHTC,3,34,Pacific Pointe,Stockton,CA,1998,80.0,LIHTC,70.0
15,La Promesa,Odessa,TX,1978,136.0,Layered HUD/LIHTC,1,1,Boca Ciega,St. Petersburg,FL,1974,109.0,Layered HUD/LIHTC,70.03
15,La Promesa,Odessa,TX,1978,136.0,Layered HUD/LIHTC,2,41,Silver Springs Terrace,Hickory,NC,1971,100.0,Layered HUD/LIHTC,56.71
15,La Promesa,Odessa,TX,1978,136.0,Layered HUD/LIHTC,3,8,Village Green,Natchez,MS,1977,80.0,Section 8/HUD,47.76
16,New Wilmington Arms,Compton,CA,1973,,Section 8/HUD,1,2,Jefferson Arms,Monticello,FL,1971,75.0,Section 8/HUD,72.0
16,New Wilmington Arms,Compton,CA,1973,,Section 8/HUD,2,9,Walnut Hill,Natchez,MS,1975,168.0,Section 8/HUD,72.0
16,New Wilmington Arms,Compton,CA,1973,,Section 8/HUD,3,20,Colonial Estates,Thibodaux,LA,1975,107.0,Section 8/HUD,72.0
17,Gates on Manhattan,Harvey,LA,1968,276.0,Section 8/HUD,1,21,Marrero 3,Harvey,LA,1968,173.0,Section 8/HUD,92.54
17,Gates on Manhattan,Harvey,LA,1968,276.0,Section 8/HUD,2,3,Opa Locka 135th St,Opa Locka,FL,1968,65.0,Section 8/HUD,74.71
17,Gates on Manhattan,Harvey,LA,1968,276.0,Section 8/HUD,3,4,Macedonia Garden,Panama City,FL,1969,100.0,Section 8/HUD,73.25
18,Ruby Diamond,Marrero,LA,2000,73.0,LIHTC,1,25,Granite Bayou,Baton Rouge,LA,2000,60.0,LIHTC,96.44
18,Ruby Diamond,Marrero,LA,2000,73.0,LIHTC,2,19,Star Homes,Marrero,LA,2000,48.0,LIHTC,93.15
18,Ruby Diamond,Marrero,LA,2000,73.0,LIHTC,3,36,Columbia Village,Sonora,CA,2000,80.0,LIHTC,88.25
19,Star Homes,Marrero,LA,2000,48.0,LIHTC,1,25,Granite Bayou,Baton Rouge,LA,2000,60.0,LIHTC,96.0
19,Star Homes,Marrero,LA,2000,48.0,LIHTC,2,18,Ruby Diamond,Marrero,LA,2000,73.0,LIHTC,93.15
19,Star Homes,Marrero,LA,2000,48.0,LIHTC,3,24,North Pointe,Bossier City,LA,2000,27.0,LIHTC,91.25
