,Bill,,DJ021226PAY,,02/11/2026,,Accounts Payable,,-880.00,,,,
,Bill,,DJ022626PAY,,02/25/2026,,Accounts Payable,,-800.00,,,,
,Bill,,DJ031226PAY,,03/11/2026,,Accounts Payable,,-800.00,,,,
,Bill,,DJ032626-PAY,,03/23/2026,,Accounts Payable,,-800.00,,,,
,,,,,,,,,,,,,
,Bill Pmt -Check,,1814,,04/06/2023,,EH Operating #107383,,-800.00,,,,
,Bill Pmt -Check,,1829,,04/21/2023,,EH Operating #107383,,-800.00,,,,
,Bill Pmt -Check,,1849,,05/08/2023,,EH Operating #107383,,-800.00,,,,
,Bill Pmt -Check,,1884,,05/25/2023,,EH Operating #107383,,-720.00,,,,
,Bill Pmt -Check,,1895,,06/08/2023,,EH Operating #107383,,-640.00,,,,
,Bill Pmt -Check,,1911,,06/22/2023,,EH Operating #107383,,-880.00,,,,
,Bill Pmt -Check,,1918,,07/07/2023,,EH Operating #107383,,-800.00,,,,
,Bill Pmt -Check,,2054,,07/24/2023,,CNB Operating #6370,,-720.00,,,,
,Bill Pmt -Check,,1961,,08/09/2023,,EH Operating #107383,,-880.00,,,,
,Bill Pmt -Check,,1978,,08/23/2023,,EH Operating #107383,,-880.00,,,,
,Bill Pmt -Check,,1994,,09/07/2023,,EH Operating #107383,,-960.00,,,,
,Bill Pmt -Check,,2082,,09/22/2023,,CNB Operating #6370,,-800.00,,,,
,Bill Pmt -Check,,2017,,10/09/2023,,EH Operating #107383,,-800.00,,,,
,Bill Pmt -Check,,2033,,10/24/2023,,EH Operating #107383,,-800.00,,,,
,Bill Pmt -Check,,2049,,11/08/2023,,EH Operating #107383,,-960.00,,,,
,Bill Pmt -Check,,2111,,11/21/2023,,CNB Operating #6370,,-880.00,,,,
,Bill Pmt -Check,,2058,,12/08/2023,,EH Operating #107383,,-800.00,,,,
,Bill Pmt -Check,,2072,,12/21/2023,,EH Operating #107383,,-880.00,,,,
,Bill Pmt -Check,,2079,,01/09/2024,,EH Operating #107383,,-720.00,,,,
,Bill Pmt -Check,,2095,,01/24/2024,,EH Operating #107383,,-800.00,,,,
,Bill Pmt -Check,,2111,,02/08/2024,,EH Operating #107383,,-880.00,,,,
,Bill Pmt -Check,,2180,,02/22/2024,,CNB Operating #6370,,-740.00,,,,
,Bill Pmt -Check,,2114,,03/07/2024,,EH Operating #107383,,-720.00,,,,
,Bill Pmt -Check,,2126,,03/20/2024,,EH Operating #107383,,-880.00,,,,
,Bill Pmt -Check,,2154,,04/09/2024,,EH Operating #107383,,-800.00,,,,
,Bill Pmt -Check,,2176,,04/23/2024,,EH Operating #107383,,-880.00,,,,
,Bill Pmt -Check,,2219,,05/07/2024,,CNB Operating #6370,,-880.00,,,,
,Bill Pmt -Check,,2238,,05/23/2024,,CNB Operating #6370,,-800.00,,,,
,Bill Pmt -Check,,2204,,06/10/2024,,EH Operating #107383,,-880.00,,,,
,Bill Pmt -Check,,2260,,06/26/2024,,CNB Operating #6370,,-800.00,,,,
,Bill Pmt -Check,,2232,,07/08/2024,,EH Operating #107383,,"-1,040.00",,,,
,Bill Pmt -Check,,2248,,07/24/2024,,EH Operating #107383,,-880.00,,,,
,Bill Pmt -Check,,2279,,08/07/2024,,CNB Operating #6370,,-960.00,,,,
,Bill Pmt -Check,,2304,,08/22/2024,,CNB Operating #6370,,-880.00,,,,
,Bill Pmt -Check,,2280,,09/09/2024,,EH Operating #107383,,-880.00,,,,
,Bill Pmt -Check,,2318,,09/23/2024,,CNB Operating #6370,,-720.00,,,,
,Bill Pmt -Check,,2306,,10/09/2024,,EH Operating #107383,,-880.00,,,,
,Bill Pmt -Check,,2319,,10/23/2024,,EH Operating #107383,,-880.00,,,,
,Bill Pmt -Check,,2333,,11/07/2024,,EH Operating #107383,,-960.00,,,,
,Bill Pmt -Check,,2338,,11/20/2024,,EH Operating #107383,,-960.00,,,,
,Bill Pmt -Check,,2344,,12/09/2024,,EH Operating #107383,,-720.00,,,,
,Bill Pmt -Check,,2368,,12/20/2024,,CNB Operating #6370,,-800.00,,,,
,Bill Pmt -Check,,2386,,01/10/2025,,CNB Operating #6370,,-800.00,,,,
,Bill Pmt -Check,,2363,,01/23/2025,,EH Operating #107383,,-800.00,,,,
,Bill Pmt -Check,,2373,,02/06/2025,,EH Operating #107383,,-960.00,,,,
,Bill Pmt -Check,,2403,,02/24/2025,,CNB Operating #6370,,-800.00,,,,
,Bill Pmt -Check,,2423,,03/07/2025,,CNB Operating #6370,,-800.00,,,,
,Bill Pmt -Check,,2431,,03/25/2025,,CNB Operating #6370,,-800.00,,,,
,Bill Pmt -Check,,2412,,04/07/2025,,EH Operating #107383,,-800.00,,,,
,Bill Pmt -Check,,2425,,04/22/2025,,EH Operating #107383,,-880.00,,,,
,Bill Pmt -Check,,2433,,05/07/2025,,EH Operating #107383,,-880.00,,,,
,Bill Pmt -Check,,2476,,05/22/2025,,CNB Operating #6370,,-880.00,,,,
,Bill Pmt -Check,,2460,,06/09/2025,,EH Operating #107383,,-800.00,,,,
,Bill Pmt -Check,,2494,,06/23/2025,,CNB Operating #6370,,-800.00,,,,
,Bill Pmt -Check,,114,,07/09/2025,,GB Operating #107383,,-880.00,,,,
,Bill Pmt -Check,,2520,,07/23/2025,,CNB Operating #6370,,-960.00,,,,
,Bill Pmt -Check,,142,,08/07/2025,,GB Operating #107383,,"-1,440.00",,,,
,Bill Pmt -Check,,2547,,08/21/2025,,CNB Operating #6370,,-880.00,,,,
,Bill Pmt -Check,,155,,09/10/2025,,GB Operating #107383,,-800.00,,,,
,Bill Pmt -Check,,2570,,09/24/2025,,CNB Operating #6370,,-800.00,,,,
,Bill Pmt -Check,,187,,10/09/2025,,GB Operating #107383,,-880.00,,,,
,Bill Pmt -Check,,193,,10/22/2025,,GB Operating #107383,,-880.00,,,,71
,Bill Pmt -Check,,199,,11/05/2025,,GB Operating #107383,,-960.00,,,,
,Bill Pmt -Check,,213,,11/19/2025,,GB Operating #107383,,-720.00,,,,
,Bill Pmt -Check,,222,,12/03/2025,,GB Operating #107383,,-640.00,,,,
,Bill Pmt -Check,,239,,12/18/2025,,GB Operating #107383,,-880.00,,,,
,Bill Pmt -Check,,2610,,12/31/2025,,CNB Operating #6370,,-880.00,,,,
,Bill Pmt -Check,,274,,01/28/2026,,GB Operating #107383,,-800.00,,,,
,Bill Pmt -Check,,300,,02/11/2026,,GB Operating #107383,,-880.00,,,,
,Bill Pmt -Check,,320,,02/25/2026,,GB Operating #107383,,-800.00,,,,
,Bill Pmt -Check,,338,,03/11/2026,,GB Operating #107383,,-800.00,,,,
,Bill Pmt -Check,,350,,03/24/2026,,GB Operating #107383,,-800.00,,,,
,Type,,Num,,Date,,Account,,Amount,,,,
Apr '23 - Mar 26,,,,,,,,,,,,,
Apr '23 - Mar 26,,,,,,,,,,,,,
